startest,,鱼雷,手动触发,,2015-06-12,--&--&--&--&-0.14&--,--&--&--&--,--,--,8.8,8.8,--&--,0
0,1,1,1,1,4,1,0,0,0,0,0,0,1
True,False,False,False,False,True,False,False,False,False,False,False,False,False
0.0205,-0.1013,-0.1013,-0.1013,-0.1013,-0.101651905823,-0.1013,4.46968078613,4.49485778809,4.46876525879,4.4832611084,0.0,0.0,0.0
0.021,-0.1013,-0.1013,-0.1013,-0.1013,-0.103726147461,-0.1013,4.45693969727,4.48135375977,4.45526123047,4.46998596191,0.0,0.0,0.0
0.0215,-0.1013,-0.1013,-0.1013,-0.1013,-0.104107617188,-0.1013,4.44389343262,4.46678161621,4.4416809082,4.45655822754,0.0,0.0,0.0
0.022,-0.1013,-0.1013,-0.1013,-0.1013,-0.103797673035,-0.1013,4.43069458008,4.45327758789,4.42916870117,4.44442749023,0.0,0.0,0.0
0.0225,-0.1013,-0.1013,-0.1013,-0.1013,-0.103583096313,-0.1013,4.45243835449,4.48196411133,4.46495056152,4.48684692383,0.0,0.0,0.0
0.023,-0.1013,-0.1013,-0.1013,-0.1013,-0.101604222107,-0.1013,4.59091186523,4.62493896484,4.61059570312,4.63417053223,0.0,0.0,0.0
0.0235,-0.1013,-0.1013,-0.1013,-0.1013,-0.102605580139,-0.1013,4.67704772949,4.70100402832,4.67590332031,4.69009399414,0.0,0.0,0.0
0.024,-0.1013,-0.1013,-0.1013,-0.1013,-0.101771115112,-0.1013,4.66209411621,4.68704223633,4.66171264648,4.67460632324,0.0,0.0,0.0
0.0245,-0.1013,-0.1013,-0.1013,-0.1013,-0.103273152161,-0.1013,4.64500427246,4.67102050781,4.64515686035,4.65858459473,0.0,0.0,0.0
0.025,-0.1013,-0.1013,-0.1013,-0.1013,-0.103153942871,-0.1013,4.62951660156,4.65576171875,4.62905883789,4.64317321777,0.0,0.0,0.0
0.0255,-0.1013,-0.1013,-0.1013,-0.1013,-0.103463887024,-0.1013,4.61448669434,4.64065551758,4.61387634277,4.62821960449,0.0,0.0,0.0
0.026,-0.1013,-0.1013,-0.1013,-0.1013,-0.102629421997,-0.1013,4.59999084473,4.62593078613,4.5987701416,4.61402893066,0.0,0.0,0.0
0.0265,-0.1013,-0.1013,-0.1013,-0.1013,-0.10293936615,-0.1013,4.58625793457,4.61120605469,4.58450317383,4.59976196289,0.0,0.0,0.0
0.027,-0.1013,-0.1013,-0.1013,-0.1013,-0.102152584839,-0.1013,4.57221984863,4.59602355957,4.57015991211,4.58534240723,0.0,0.0,0.0
